"id","name","description","image_url","hero","category","quality","race","set","mana","attack","health","collectible","effect_list"
"77","Polymorph","<b>Transform</b> a minion into a 1/1 Sheep.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_022.png","mage","spell","free","none","basic","4","null","null","true",""
"86","Starfall","Choose One - Deal 5 damage to a minion; or 2 damage to all enemy minions.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/NEW1_007.png","druid","spell","rare","none","expert","5","null","null","true",""
"90","Chillwind Yeti","","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_182.png","neutral","minion","common","none","basic","4","4","5","true",""
"95","Nourish","Choose One - Gain 2 Mana Crystals; or Draw 3 cards.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_164.png","druid","spell","rare","none","expert","5","null","null","true",""
"99","Bear Form","+2 Health and <b>Taunt</b>.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_165b.png","druid","spell","common","none","expert","0","null","null","false",""
"100","Huffer","<b>Charge</b>","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/NEW1_034.png","hunter","minion","common","beast","basic","3","4","2","false","[object Object]"
"102","Defender","","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_130a.png","paladin","minion","common","none","expert","1","2","1","false",""
"113","Counterspell","<b>Secret</b>: When your opponent casts a spell, Counter it.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_287.png","mage","spell","rare","none","expert","3","null","null","true","[object Object]"
"132","Voodoo Doctor","<b>Battlecry</b>: Restore 2 Health.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_011.png","neutral","minion","free","none","basic","1","2","1","true","[object Object]"
"134","Ravenholdt Assassin","<b>Stealth</b>","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_161.png","neutral","minion","rare","none","expert","7","7","5","true","[object Object]"
"137","Wrath","Deal 1 damage to a minion. Draw a card.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_154b.png","druid","spell","uncommon","none","expert","0","null","null","false",""
"138","Doomsayer","At the start of your turn, destroy ALL minions.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/NEW1_021.png","neutral","minion","epic","none","expert","2","null","7","true",""
"140","Redemption","<b>Secret</b>: When one of your minions dies, return it to life with 1 Health.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_136.png","paladin","spell","common","none","expert","1","null","null","true","[object Object]"
"141","Hunter's Mark","Change a minion's Health to 1.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_084.png","hunter","spell","common","none","basic","0","null","null","true",""
"145","Mindgames","Put a copy of a random minion from your opponent's deck into the battlefield.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_345.png","priest","spell","epic","none","expert","4","null","null","true",""
"146","Poultryizer","At the start of your turn, transform a random minion into a 1/1 Chicken.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/Mekka4.png","neutral","minion","common","none","promotion","1","null","3","false",""
"147","Shadowflame","Destroy a friendly minion and deal its Attack damage to all enemy minions.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_303.png","warlock","spell","rare","none","expert","4","null","null","true",""
"149","Ancestral Healing","Restore a minion to full Health and give it <b>Taunt</b>.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_041.png","shaman","spell","free","none","basic","0","null","null","true",""
"151","Mark of Nature","Choose One - Give a minion +4 Attack; or +4 Health and <b>Taunt</b>.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_155.png","druid","spell","common","none","expert","3","null","null","true",""
"157","Lord of the Arena","<b>Taunt</b>","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_162.png","neutral","minion","common","none","basic","6","6","5","true","[object Object]"
"158","Secretkeeper","Whenever a <b>Secret</b> is played, gain +1/+1.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_080.png","neutral","minion","rare","none","expert","1","1","2","true",""
"163","Sacrificial Pact","Destroy a Demon. Restore #5 Health to your hero.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/NEW1_003.png","warlock","spell","common","none","basic","0","null","null","true",""
"172","Ice Lance","<b>Freeze</b> a character. If it was already Frozen, deal 4 damage instead.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_031.png","mage","spell","common","none","expert","1","null","null","true",""
"175","Dalaran Mage","<b>Spell Damage</b> +1","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_582.png","neutral","minion","common","none","basic","3","1","4","true","[object Object]"
"178","Windspeaker","<b>Battlecry</b>: Give a friendly minion <b>Windfury</b>.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_587.png","shaman","minion","common","none","basic","4","3","3","true","[object Object]"
"179","Wisp","","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_231.png","neutral","minion","common","none","expert","0","1","1","true",""
"180","Backstab","Deal 2 damage to an undamaged minion.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_072.png","rogue","spell","free","none","basic","0","null","null","true",""
"182","Uproot","+5 Attack.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_178b.png","druid","spell","uncommon","none","expert","0","null","null","false",""
"186","Ancient Brewmaster","<b>Battlecry</b>: Return a friendly minion from the battlefield to your hand.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_057.png","neutral","minion","common","none","expert","4","5","4","true","[object Object]"
"189","Fire Elemental","<b>Battlecry</b>: Deal 3 damage.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_042.png","shaman","minion","common","none","basic","6","6","5","true","[object Object]"
"191","Murloc Raider","","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_168.png","neutral","minion","free","murloc","basic","1","2","1","true",""
"192","Ice Block","<b>Secret</b>: When your hero takes fatal damage, prevent it and become <b>Immune</b> this turn.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_295.png","mage","spell","epic","none","expert","3","null","null","true","[object Object]"
"195","Mirror Entity","<b>Secret</b>: When your opponent plays a minion, summon a copy of it.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_294.png","mage","spell","common","none","expert","3","null","null","true","[object Object]"
"196","Vanish","Return all minions to their owner's hand.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/NEW1_004.png","rogue","spell","common","none","basic","6","null","null","true",""
"201","Defias Ringleader","<b>Combo</b>: Summon a 2/1 Defias Bandit.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_131.png","rogue","minion","common","none","expert","2","2","2","true","[object Object]"
"204","Snake","","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_554t.png","hunter","minion","common","beast","expert","0","1","1","false",""
"205","Ironbark Protector","<b>Taunt</b>","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_232.png","druid","minion","common","none","basic","8","8","8","true","[object Object]"
"209","Ancient Secrets","Restore 5 Health.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/NEW1_008b.png","druid","spell","uncommon","none","expert","0","null","null","false",""
"211","Sea Giant","Costs (1) less for each other minion on the battlefield.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_586.png","neutral","minion","epic","none","expert","10","8","8","true",""
"213","Mark of the Wild","Give a minion <b>Taunt</b> and +2/+2. (+2 Attack/+2 Health)","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_009.png","druid","spell","free","none","basic","2","null","null","true",""
"216","Bloodfen Raptor","","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_172.png","neutral","minion","free","beast","basic","2","3","2","true",""
"217","Nightmare","Give a minion +5/+5.  At the start of your next turn, destroy it.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/DREAM_05.png","neutral","spell","uncommon","none","expert","0","null","null","false",""
"220","Shadow Madness","Gain control of an enemy minion with 3 or less Attack until end of turn.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_334.png","priest","spell","rare","none","expert","4","null","null","true",""
"226","Leokk","Other friendly minions have +1 Attack.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/NEW1_033.png","hunter","minion","common","beast","basic","3","2","4","false",""
"227","Homing Chicken","At the start of your turn, destroy this minion and draw 3 cards.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/Mekka1.png","neutral","minion","common","none","promotion","1","null","1","false",""
"229","Steady Shot","Hero Power   Deal 2 damage to the enemy hero.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/DS1h_292.png","hunter","ability","free","none","basic","2","null","null","true",""
"232","Repentance","<b>Secret</b>: When your opponent plays a minion, reduce its Health to 1.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_379.png","paladin","spell","common","none","expert","1","null","null","true","[object Object]"
"233","Naturalize","Destroy a minion. Your opponent draws 2 cards.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_161.png","druid","spell","common","none","expert","1","null","null","true",""
"237","Auchenai Soulpriest","Your cards and powers that restore Health now deal damage instead.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_591.png","priest","minion","rare","none","expert","4","3","5","true",""
"238","Feral Spirit","Summon two 2/3 Spirit Wolves with <b>Taunt</b>. <b>Overload</b>: (2)","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_248.png","shaman","spell","rare","none","expert","3","null","null","true","[object Object]"
"239","Rockbiter Weapon","Give a friendly character +3 Attack this turn.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_045.png","shaman","spell","free","none","basic","1","null","null","true",""
"242","Abusive Sergeant","<b>Battlecry</b>: Give a friendly minion +2 Attack this turn.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_188.png","neutral","minion","common","none","expert","1","2","1","true","[object Object]"
"250","Hammer of Wrath","Deal 3 damage.  Draw a card.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_094.png","paladin","spell","free","none","basic","4","null","null","true",""
"251","Loot Hoarder","<b>Deathrattle</b>: Draw a card.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_096.png","neutral","minion","common","none","expert","2","2","1","true","[object Object]"
"253","Wrath","Deal 3 damage to a minion.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_154a.png","druid","spell","uncommon","none","expert","0","null","null","false",""
"254","Innervate","Gain 2 Mana Crystals this turn only.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_169.png","druid","spell","free","none","basic","0","null","null","true",""
"257","Razorfen Hunter","<b>Battlecry</b>: Summon a 1/1 Boar.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_196.png","neutral","minion","common","none","basic","3","2","3","true","[object Object]"
"262","Chicken","Hey Chicken!","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/Mekka4t.png","neutral","minion","uncommon","beast","promotion","0","1","1","false",""
"268","Cold Blood","Give a minion +2 Attack. <b>Combo</b>: +4 Attack instead.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_073.png","rogue","spell","common","none","expert","1","null","null","true","[object Object]"
"272","Cabal Shadow Priest","<b>Battlecry</b>: Take control of an enemy minion that has 2 or less Attack.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_091.png","priest","minion","epic","none","expert","6","4","5","true","[object Object]"
"274","Malfurion Stormrage","","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/HERO_06.png","druid","hero","free","none","basic","0","null","30","true",""
"279","Holy Smite","Deal 2 damage.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS1_130.png","priest","spell","free","none","basic","1","null","null","true",""
"281","Argent Commander","<b>Charge</b>, <b>Divine Shield</b>","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_067.png","neutral","minion","rare","none","expert","6","4","2","true","[object Object],[object Object]"
"282","Betrayal","An enemy minion deals its damage to the minions next to it.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_126.png","rogue","spell","common","none","expert","2","null","null","true",""
"284","Novice Engineer","<b>Battlecry</b>: Draw a card.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_015.png","neutral","minion","free","none","basic","2","1","1","true","[object Object]"
"285","Cruel Taskmaster","<b>Battlecry</b>: Deal 1 damage to a minion and give it +2 Attack.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_603.png","warrior","minion","common","none","expert","2","2","2","true","[object Object]"
"286","Vaporize","<b>Secret</b>: When a minion attacks your hero, destroy it.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_594.png","mage","spell","rare","none","expert","3","null","null","true","[object Object]"
"287","Kidnapper","<b>Combo</b>: Return a minion to its owner's hand.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/NEW1_005.png","rogue","minion","epic","none","expert","6","5","3","true","[object Object]"
"289","Wolfrider","<b>Charge</b>","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_124.png","neutral","minion","free","none","basic","3","3","1","true","[object Object]"
"290","Ironbeak Owl","<b>Battlecry</b>: <b>Silence</b> a minion.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_203.png","neutral","minion","common","beast","expert","2","2","1","true","[object Object]"
"291","Holy Light","Restore #6 Health.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_089.png","paladin","spell","free","none","basic","2","null","null","true",""
"292","Multi-Shot","Deal 3 damage to two random enemy minions.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/DS1_183.png","hunter","spell","free","none","basic","4","null","null","true",""
"296","Kill Command","Deal 3 damage.  If you have a Beast, deal 5 damage instead.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_539.png","hunter","spell","common","none","basic","3","null","null","true",""
"298","Boar","","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_boar.png","neutral","minion","common","beast","basic","1","1","1","false",""
"299","Forked Lightning","Deal 2 damage to 2 random enemy minions. <b>Overload</b>: (2)","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_251.png","shaman","spell","common","none","expert","1","null","null","true","[object Object]"
"300","Life Tap","Hero Power   Draw a card and take 2 damage.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_056.png","warlock","ability","free","none","basic","2","null","null","true",""
"301","Ysera Awakens","Deal 5 damage to all characters except Ysera.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/DREAM_02.png","neutral","spell","uncommon","none","expert","2","null","null","false",""
"304","Arcanite Reaper","","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_112.png","warrior","weapon","common","none","basic","5","5","2","true",""
"306","Edwin VanCleef","<b>Combo</b>: Gain +2/+2 for each card played earlier this turn.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_613.png","rogue","minion","legendary","none","expert","3","2","2","true","[object Object]"
"308","Gnomish Inventor","<b>Battlecry</b>: Draw a card.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_147.png","neutral","minion","common","none","basic","4","2","4","true","[object Object]"
"311","Gladiator's Longbow","Your hero is <b>Immune</b> while attacking.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/DS1_188.png","hunter","weapon","epic","none","expert","7","5","2","true",""
"313","Ancient Teachings","Draw 2 cards.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/NEW1_008a.png","druid","spell","uncommon","none","expert","0","null","null","false",""
"315","Fireball","Deal 6 damage.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_029.png","mage","spell","free","none","basic","4","null","null","true",""
"317","Bananas","Give a friendly minion +1/+1. (+1 Attack/+1 Health)","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/TU4c_006.png","neutral","spell","common","none","missions","1","null","null","false",""
"318","Baine Bloodhoof","","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_110t.png","neutral","minion","legendary","none","expert","4","4","5","false",""
"321","Dispel","<b>Silence</b> a minion.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_166b.png","druid","spell","uncommon","none","expert","0","null","null","false",""
"325","Nourish","Draw 3 cards.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_164b.png","druid","spell","uncommon","none","expert","0","null","null","false",""
"329","Repair Bot","At the end of your turn, restore 6 Health to a damaged character.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/Mekka2.png","neutral","minion","common","none","promotion","1","null","3","false",""
"332","Devilsaur","","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_tk29.png","neutral","minion","common","beast","expert","5","5","5","false",""
"336","Baron Geddon","At the end of your turn, deal 2 damage to ALL other characters.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_249.png","neutral","minion","legendary","none","expert","7","7","5","true",""
"338","Grommash Hellscream","<b>Charge</b>.  <b>Enrage</b>: +6 Attack","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_414.png","warrior","minion","legendary","none","expert","8","4","9","true","[object Object],[object Object]"
"339","Ironforge Rifleman","<b>Battlecry</b>: Deal 1 damage.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_141.png","neutral","minion","common","none","basic","3","2","2","true","[object Object]"
"340","Laughing Sister","Can't be targeted by Spells or Hero Powers.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/DREAM_01.png","neutral","minion","uncommon","none","expert","3","3","5","false",""
"344","Charge","Give a friendly minion +2 Attack and <b>Charge</b>.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_103.png","warrior","spell","free","none","basic","3","null","null","true",""
"345","Assassinate","Destroy an enemy minion.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_076.png","rogue","spell","free","none","basic","5","null","null","true",""
"348","Dark Iron Dwarf","<b>Battlecry</b>: Give a minion +2 Attack this turn.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_046.png","neutral","minion","common","none","expert","4","4","4","true","[object Object]"
"351","Master Swordsmith","At the end of your turn, give another random friendly minion +1 Attack.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/NEW1_037.png","neutral","minion","rare","none","expert","2","1","3","true",""
"352","Doomhammer","<b>Windfury</b>, <b>Overload</b>: (2)","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_567.png","shaman","weapon","epic","none","expert","5","2","8","true","[object Object],[object Object]"
"358","Treant","<b>Charge</b>.  At the end of the turn, destroy this minion.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_tk9.png","druid","minion","common","none","expert","1","2","2","false","[object Object]"
"363","Onyxia","<b>Battlecry</b>: Summon 1/1 Whelps until your side of the battlefield is full.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_562.png","neutral","minion","legendary","dragon","expert","9","8","8","true","[object Object]"
"364","Shan'do's Lesson","Summon two 2/2 Treants with <b>Taunt</b>.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_573b.png","druid","spell","uncommon","none","expert","0","null","null","false",""
"365","Shadowstep","Return a friendly minion to your hand. It costs (2) less.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_144.png","rogue","spell","common","none","expert","0","null","null","true",""
"366","Spellbender","<b>Secret</b>: When an enemy casts a spell on a minion, summon a 1/3 as the new target.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/tt_010.png","mage","spell","epic","none","expert","3","null","null","true","[object Object]"
"374","Ragnaros the Firelord","Can't Attack.  At the end of your turn, deal 8 damage to a random enemy.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_298.png","neutral","minion","legendary","none","expert","8","8","8","true",""
"376","Inner Fire","Change a minion's Attack to be equal to its Health.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS1_129.png","priest","spell","common","none","expert","1","null","null","true",""
"378","Violet Apprentice","","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/NEW1_026t.png","neutral","minion","uncommon","none","expert","0","1","1","false",""
"381","Soul of the Forest","Give your minions ""<b>Deathrattle</b>: Summon a 2/2 Treant.""","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_158.png","druid","spell","common","none","expert","4","null","null","true",""
"383","Light's Justice","","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_091.png","paladin","weapon","free","none","basic","1","1","4","true",""
"389","Elven Archer","<b>Battlecry</b>: Deal 1 damage.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_189.png","neutral","minion","common","none","basic","1","1","1","true","[object Object]"
"391","Perdition's Blade","<b>Battlecry</b>: Deal 1 damage. <b>Combo</b>: Deal 2 instead.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_133.png","rogue","weapon","rare","none","expert","3","2","2","true","[object Object],[object Object]"
"394","Explosive Shot","Deal 5 damage to a minion and 2 damage to adjacent ones.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_537.png","hunter","spell","rare","none","expert","5","null","null","true",""
"395","Water Elemental","<b>Freeze</b> any character damaged by this minion.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_033.png","mage","minion","common","none","basic","4","3","6","true",""
"397","Flesheating Ghoul","Whenever a minion dies, gain +1 Attack.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/tt_004.png","neutral","minion","common","none","expert","3","2","3","true",""
"400","Battle Rage","Draw a card for each damaged friendly character.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/EX1_392.png","warrior","spell","common","none","expert","2","null","null","true",""
"401","Fiery War Axe","","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_106.png","warrior","weapon","free","none","basic","2","3","2","true",""
"404","Ancestral Spirit","Choose a minion. When that minion is destroyed, return it to the battlefield.","http://wow.zamimg.com/images/hearthstone/cards/enus/medium/CS2_038.png","shaman","spell","rare","none","expert","2","null","null","true",""
